CookerStat, GenerateAssetRegistry=16.548965, Initialize=32.930550, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
SavePackageTransactionId8ADD1AE24414B58BA43CEC891E56A1FB_0, Filename=../../../../../../Users/Admin/Documents/Unreal Projects/PracticeProject v2/Content/Maps/PracticeMap.umap, AutoPackageBackupDelegate=73.363441, FlushAsyncLoading=0.018552, FlushStreamingFunc=0.085268, BlockTillAllRequestsFinished=0.007499, ResetLoadersForSaveUnMarkAllObjects=329.372223, TagPackageExports=22.328585, BeginCacheForCookedPlatformData=0.005133, SerializeImports=168.435699, GatherLocalizableTextData=300.320526, MarkNames=1.298353, SerializeSummary=0.394758, SerializeNames=1.035839, SerializeGatherableTextData=0.249881, BuildExportMap=1.406517, SortExportsNonSeekfree=24.905556, SortExportsSeekfreeConstructor=19.078560, SortExportsSeekfreeInner=135.002228, SortExportsSeekfree=0.007894, BuildDependencyMap=1.677714, SerializeImportMap=0.127111, SerializeExportMap=0.684902, SerializeDependencyMap=0.169747, SerializeStringAssetReferenceMap=0.004340, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.796413, SerializeExports=71.714149, SerializeBulkData=270.575684, MoveFile=3.206208, UnaccountedTime=79.862701, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_739355F4489EE26820D26CB383A9F176__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=347, Duration=0.991628, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D35DCE5A4E7156CE07347E95F3DEC74A__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=385, Duration=1.046106, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A9219F66401EAC35FA087E82C2D20EE2__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=385, Duration=0.955705, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_230D3CB344DAD75E09D596B2BC1F4F62__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=385, Duration=1.038998, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_509696F64313ED7743C6C597E14D8F2E__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=347, Duration=1.166504, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2921340B4336D9D030FC91B5CC8A7C7A__1_0_13123_0, StartTime=2016.04.19-18.27.33, HierarchicalDDC=, DataSize=404, Duration=0.949386, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionIdB4D14D2F4BAC71B4214EDDBDD47AFA14_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B7D07BCA4BFC0FAC6A58FEBEF6DFFD12_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=586.963562, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionIdEDFCE0234D829839351053932F8E7040_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CB2A2DB8468ED2921474F298BC011E6C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=388.048767, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId67F8445B4242580D250ADF8C8C411E90_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBCE93BC47A68E4773D84B9EB06073E2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=677.863647, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionIdC89918ED46921C8BBD2976B7A5E5CE82_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_00B8DDAC4CEAD598715FE1A560C28239_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-18.28.14, Duration=781.793823, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
