CookerStat, GenerateAssetRegistry=0.024080, Initialize=0.101060, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_947886BB424E5E246599089CFC3F3AB0__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.087949, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_75AD541F4055AC11FE0161A7E402C967__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.485467, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_070489EA473B75A2C2CFC7831A86BBEB__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.113210, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CE0EBB343071FCAD51AD183CD820377__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.052417, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C93EF0F944C17E8938777AA2F2C2D669__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.277432, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_35A3B4E944392150048FDF9DC597EB3C__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.177162, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3DA775041DBC452934050AB77A7B9FC__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.473229, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53AC95034084F41592D86A8D78903A3C__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.082420, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7B87FAE4E64004C19A47FA194AA672F__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.002681, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F490C1843F677657B8842B04AE2750F__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.114003, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D0F6B954C33BB7694B3CA882911FADE__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.189005, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_178849A14CF2B1C082FA60809FFA0654__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.199663, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F735C1994ADED657565A98ABE2791F7A__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.485072, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A21B3A84DB97101D545638176FDD665__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.333091, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5F1E53E44117FA89A674FA7D920AF94__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.371384, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B69A9374BB668FE3E473FA21FDA83AF__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.090314, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_998207B14D886855FE07A7835E44FC3C__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=0.963598, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F947CEAF4BBECEDC3EC37F949E6531E6__1_0_13123_0, StartTime=2016.04.20-13.00.02, HierarchicalDDC=, DataSize=347, Duration=1.026761, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3D3BCE3644062073E2C29A8ACB7FBCB9__1_0_13123_0, StartTime=2016.04.20-13.00.52, HierarchicalDDC=, DataSize=458, Duration=17.320316, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
