CookerStat, GenerateAssetRegistry=0.019345, Initialize=0.100665, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3AFC2AAF464B395E890552AF994CED4C__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1003, Duration=1.205191, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5511819D46D4998944800D862DA8B812__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=3425, Duration=1.116369, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_137D7BC942C3145F22177C94C0C79456__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=3161, Duration=1.461387, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7C10A6AE4E42F4881382B68602C1EF89__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1481, Duration=1.436520, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_69AF03CA412DE8A59F24A293A489F6BE__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1988, Duration=0.990443, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8836AF14BD5C2F1CE2073AE3B6CCE0F__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1443, Duration=0.924125, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA8AF94C4AB4137387972F92D965108D__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1996, Duration=1.140844, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D0855BD4448098B21FD40CBCFFDA732C__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=594, Duration=0.982940, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD281AD544CFC2A897B05B9E21FEBFC3__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1531, Duration=1.422703, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B23B9754FF0108351A8D3B4C015A53E__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=849, Duration=1.105316, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_63B873774C8ADBBE0F40EA9108343138__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=3450, Duration=1.337040, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4717AD354B373619B3F6C5A6D0FA2264__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=625, Duration=1.287695, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_55DCEE3B4B29C437622FA0A613CD2D8F__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1784, Duration=1.759820, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66F8F02F42ECA3F8F29EB8AECF789B61__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1283, Duration=1.413226, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01EDEBB24ABA7FA69BE93197735EA320__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=627, Duration=1.482308, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1C2810F3452268B5108D9E967174BC50__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1843, Duration=1.570340, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36C832F646BC068F6E9110A4A07F99FD__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=948, Duration=1.340196, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9E3F5A6344B72A8AA2C008ABFB9C0C74__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1555, Duration=1.181901, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_88F6391F49C0FE4C157A71B24F72E22F__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2243, Duration=1.348089, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_772C623746FD8436CC956984FE479185__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=537, Duration=1.243874, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F21C1383438A2093074645AEF666D13B__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2070, Duration=1.066238, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0A2452A8421B392370ECB5B98CC030B4__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=575, Duration=1.408882, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3BD5106C489C968AC34556AC8A13139C__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1452, Duration=1.311377, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D96BEE2746756719021813B45DD98253__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2398, Duration=1.055971, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4C932564C1770BE0532AAA54FCF94B3__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=3242, Duration=1.060314, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1B1ABFF94A5A40ED13D54CA11B7FB6B0__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2220, Duration=1.082819, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF9769134AD338E789CE9A8A986B8606__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1974, Duration=1.274273, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAFEFADB40DD22905A5B5387B89EE16E__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1217, Duration=1.143213, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C7C689741C4ED4763EAAF9DC35F7FFD__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1343, Duration=1.018468, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA82FBF647C150B9BAC99B89399661F1__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2180, Duration=1.234401, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E79A7B4C41C3FA41116156A6EEEAF49B__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2083, Duration=1.327168, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_09EA1C9F4B8434F330F6058472F8E23C__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=725, Duration=1.189399, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF24A82B41C989FC86580CAE08D2AD1A__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=915, Duration=0.882279, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A8FE583A49848E2FFBCD6A92E1E46A02__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1938, Duration=1.240719, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F4ECF7214C7038F6950A35A3D1B4FD0F__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=977, Duration=1.009788, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3C0602B4677B437B925FABAB84FCBBE__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1550, Duration=1.373753, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD1C41C145DACF022D2053996FE5C8F9__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1003, Duration=1.435727, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
